Tweet,Sentiment
"Sony Cybershot DSC-HX80 Digital Camera, Black with Free Accessory Bundle https://t.co/gbzgvdMb6Q https://t.co/QA4KPrdc9H",neutral
Sony DSC-WX10 Cyber-Shot 16.2 MP Exmor R CMOS Digital Still Camera - Product Review https://t.co/x4YgPkx9Le @tunguz,neutral
Cheers to our wonderful DSC delegation who represented Lebanon at the IYC - International Youth Committee's yearly https://t.co/OlyWuZQ08I,neutral
"#khabrakhabr, #photo See other pictures https://t.co/6f8myz3pkF DSC_0252 https://t.co/hVD4CWsdp3",neutral
DSC_0573  HoustonPicture https://t.co/HywOS13imp https://t.co/QXr3q60TxH,neutral
"Sony Cyber-Shot DSC-RX10 IV Digital Camera, Black With Premium Accessory Bundle https://t.co/a1lBCbpWH0 https://t.co/2mn7YIcttT",neutral
"@wooly_back69 @RSL_Studio @radiolemans @specutainment Nor is there audio on DSC, youtube. Must be having a technical issue.",neutral
"If you're new to being a #trustee, it can be a daunting prospect. It's important that you have the right guidance. https://t.co/fdmPq1xj8s",positive
@SRFC_DSC @sligorovers True dat,neutral
@DunstableSC This is a great opportunity DSC - remember to register! Email If you need further info https://t.co/0tAVauhhMA,positive
